word,char_count,value
breadthwise,11,114
breadwinner,11,113
breadwinners,12,132
breadwinning,12,120
breadwinnings,13,139
bready,6,55
break,5,37
breakable,9,57
breakables,10,76
breakage,8,50
breakages,9,69
breakaway,9,87
breakaways,10,106
breakdown,9,93
breakdowns,10,112
breaker,7,60
breakers,8,79
breakeven,9,83
breakevens,10,102
breakfast,9,83
breakfasted,11,92
breakfaster,11,106
breakfasters,12,125
breakfasting,12,113
breakfasts,10,102
breakfront,10,110
breakfronts,11,129
breaking,8,67
breakings,9,86
breakneck,9,70
breakout,8,93
breakouts,9,112
breaks,6,56
breaksaway,10,106
breakthrough,12,134
breakthroughs,13,153
breakup,7,74
breakups,8,93
breakwater,10,104
breakwaters,11,123
bream,5,39
breamed,7,48
breaming,8,69
breams,6,58
breast,6,65
breastbone,10,101
breastbones,11,120
breasted,8,74
breasting,9,95
breastplate,11,119
breastplates,12,138
breasts,7,84
breaststroke,12,153
breaststroker,13,171
breaststrokers,14,190
breaststrokes,13,172
breastwork,10,132
breastworks,11,151
breath,6,54
breathabilities,15,140
breathability,13,132
breathable,10,74
breathe,7,59
breathed,8,63
breather,8,77
breathers,9,96
breathes,8,78
breathier,9,86
breathiest,10,107
breathily,9,100
breathiness,11,120
breathinesses,13,144
breathing,9,84
breathings,10,103
breathless,10,109
breathlessly,12,146
breathlessness,14,166
breathlessnesses,16,190
breaths,7,73
breathtaking,12,116
breathtakingly,14,153
breathy,7,79
breccia,7,41
breccial,8,53
breccias,8,60
brecciate,9,66
brecciated,10,70
brecciates,10,85
brecciating,11,91
brecciation,11,99
brecciations,12,118
brecham,7,50
brechams,8,69
brechan,7,51
brechans,8,70
bred,4,29
brede,5,34
bredes,6,53
bree,4,30
breech,6,41
breechblock,11,84
breechblocks,12,103
breechcloth,11,99
breechcloths,12,118
breechclout,11,112
breechclouts,12,131
breeched,8,50
breeches,8,65
breeching,9,71
breechings,10,90
breechloader,12,96
breechloaders,13,115
breed,5,34
breeder,7,57
breeders,8,76
breeding,8,64
breedings,9,83
breeds,6,53
breeks,6,60
brees,5,49
breeze,6,61
breezed,7,65
breezeless,10,116
breezes,7,80
breezeway,9,110
breezeways,10,129
breezier,8,88
breeziest,9,109
breezily,8,102
breeziness,10,122
breezinesses,12,146
breezing,8,86
breezy,6,81
bregma,6,46
bregmata,8,67
bregmate,8,71
bremsstrahlung,14,177
bremsstrahlungs,15,196
bren,4,39
brens,5,58
brent,5,59
brents,6,78
brethren,8,90
breve,5,52
breves,6,71
brevet,6,72
brevetcies,10,108
brevetcy,8,100
breveted,8,81
breveting,9,102
brevets,7,91
brevetted,9,101
brevetting,10,122
breviaries,10,108
breviary,8,100
brevier,7,79
breviers,8,98
brevities,9,109
brevity,7,101
brew,4,48
brewage,7,61
brewages,8,80
brewed,6,57
brewer,6,71
breweries,9,104
brewers,7,90
brewery,7,96
brewing,7,78
brewings,8,97
brewis,6,76
brewises,8,100
brews,5,67
briar,5,48
briard,6,52
briards,7,71
briars,6,67
briary,6,73
bribable,8,51
bribe,5,36
bribed,6,40
bribee,6,41
bribees,7,60
briber,6,54
briberies,9,87
bribers,7,73
bribery,7,79
bribes,6,55
bribing,7,61
brick,5,43
brickbat,8,66
brickbats,9,85
bricked,7,52
brickfield,10,79
brickfields,11,98
brickier,8,75
brickiest,9,96
bricking,8,73
bricklayer,10,104
bricklayers,11,123
bricklaying,11,111
bricklayings,12,130
brickle,7,60
brickles,8,79
bricks,6,62
brickwork,9,110
brickworks,10,129
bricky,6,68
brickyard,9,91
brickyards,10,110
bricolage,9,72
bricolages,10,91
bricole,7,64
bricoles,8,83
bridal,6,46
bridally,8,83
bridals,7,65
bride,5,38
bridegroom,10,106
bridegrooms,11,125
brides,6,57
bridesmaid,10,84
bridesmaids,11,103
bridewell,9,90
bridewells,10,109
bridge,6,45
bridgeable,10,65
bridged,7,49
bridgehead,10,63
bridgeheads,11,82
bridgeless,10,100
bridges,7,64
bridgework,10,112
bridgeworks,11,131
bridging,8,70
bridgings,9,89
bridle,6,50
bridled,7,54
bridler,7,68
bridlers,8,87
bridles,7,69
bridling,8,75
bridoon,7,77
bridoons,8,96
brie,4,34
brief,5,40
briefcase,9,68
briefcases,10,87
briefed,7,49
briefer,7,63
briefers,8,82
briefest,8,84
briefing,8,70
briefings,9,89
briefless,9,95
briefly,7,77
briefness,9,97
briefnesses,11,121
briefs,6,59
brier,5,52
briers,6,71
briery,6,77
bries,5,53
brig,4,36
brigade,7,46
brigaded,8,50
brigades,8,65
brigadier,9,73
brigadiers,10,92
brigading,9,71
brigand,7,55
brigandage,10,68
brigandages,11,87
brigandine,10,83
brigandines,11,102
brigands,8,74
brigantine,10,99
brigantines,11,118
bright,6,64
brighten,8,83
brightened,10,92
brightener,10,106
brighteners,11,125
brightening,11,113
brightens,9,102
brighter,8,87
brightest,9,108
brightly,8,101
brightness,10,121
brightnesses,12,145
brights,7,83
brightwork,10,131
brightworks,11,150
brigs,5,55
brill,5,53
brilliance,10,85
brilliances,11,104
brilliancies,12,113
brilliancy,10,105
brilliant,9,97
brilliantine,12,125
brilliantines,13,144
brilliantly,11,134
brilliants,10,116
brills,6,72
brim,4,42
brimful,7,81
brimfull,8,93
brimless,8,97
brimmed,7,64
brimmer,7,78
brimmers,8,97
brimming,8,85
brims,5,61
brimstone,9,115
brimstones,10,134
brin,4,43
brinded,7,56
brindle,7,64
brindled,8,68
brindles,8,83
brine,5,48
brined,6,52
briner,6,66
briners,7,85
brines,6,67
bring,5,50
bringdown,9,106
bringdowns,10,125
bringer,7,73
bringers,8,92
bringing,8,80
brings,6,69
brinier,7,75
brinies,7,76
briniest,8,96
brininess,9,109
brininesses,11,133
brining,7,73
brinish,7,79
brink,5,54
brinkmanship,12,134
brinkmanships,13,153
brinks,6,73
brinksmanship,13,153
brinksmanships,14,172
brins,5,62
briny,5,68
brio,4,44
brioche,7,60
brioches,8,79
briolette,9,106
briolettes,10,125
brionies,8,91
briony,6,83
brios,5,63
briquet,7,92
briquets,8,111
briquette,9,117
briquetted,10,121
briquettes,10,136
briquetting,11,142
bris,4,48
brisance,8,71
brisances,9,90
brisant,7,83
brisk,5,59
brisked,7,68
brisker,7,82
briskest,8,103
brisket,7,84
briskets,8,103
brisking,8,89
briskly,7,96
briskness,9,116
brisknesses,11,140
brisks,6,78
brisling,8,90
brislings,9,109
brisses,7,91
bristle,7,85
bristled,8,89
bristlelike,11,122
bristles,8,104
bristletail,11,127
bristletails,12,146
bristlier,9,112
bristliest,10,133
bristling,9,110
bristly,7,105
bristol,7,95
bristols,8,114
brit,4,49
britches,8,84
brits,5,68
britska,7,80
britskas,8,99
britt,5,69
brittle,7,86
brittled,8,90
brittlely,9,123
brittleness,11,143
brittlenesses,13,167
brittler,8,104
brittles,8,105
brittlest,9,125
brittling,9,111
brittly,7,106
britts,6,88
britzka,7,87
britzkas,8,106
britzska,8,106
britzskas,9,125
bro,3,35
broach,6,47
broached,8,56
broacher,8,70
broachers,9,89
broaches,8,71
broaching,9,77
broad,5,40
broadax,7,65
broadaxe,8,70
broadaxes,9,89
broadband,9,61
broadcast,9,83
broadcasted,11,92
broadcaster,11,106
broadcasters,12,125
broadcasting,12,113
broadcasts,10,102
broadcloth,10,98
broadcloths,11,117
broaden,7,59
broadened,9,68
broadening,10,89
broadens,8,78
broader,7,63
broadest,8,84
broadish,8,76
broadleaf,9,64
broadloom,9,95
broadlooms,10,114
broadly,7,77
broadness,9,97
broadnesses,11,121
broads,6,59
broadscale,10,80
broadsheet,10,97
broadsheets,11,116
broadside,9,77
broadsided,10,81
broadsides,10,96
broadsiding,11,102
broadsword,10,119
broadswords,11,138
broadtail,9,82
broadtails,10,101
brocade,7,48
brocaded,8,52
brocades,8,67
brocading,9,73
brocatel,8,76
brocatelle,10,93
brocatelles,11,112
brocatels,9,95
broccoli,8,77
broccolis,9,96
broche,6,51
brochette,9,96
brochettes,10,115
brochure,8,90
brochures,9,109
brock,5,49
brockage,8,62
brockages,9,81
brocket,7,74
brockets,8,93
brocks,6,68
brocoli,7,74
brocolis,8,93
brogan,6,57
brogans,7,76
brogue,6,68
brogueries,10,119
broguery,8,111
brogues,7,87
broguish,8,99
broider,7,71
broidered,9,80
broideries,10,104
broidering,10,101
broiders,8,90
broidery,8,96
broil,5,56
broiled,7,65
broiler,7,79
broilers,8,98
broiling,8,86
broils,6,75
brokage,7,59
brokages,8,78
broke,5,51
broken,6,65
brokenhearted,13,126
brokenly,8,102
brokenness,10,122
brokennesses,12,146
broker,6,69
brokerage,9,82
brokerages,10,101
brokered,8,78
brokering,9,99
brokerings,10,118
brokers,7,88
broking,7,76
brokings,8,95
brollies,8,92
brolly,6,84
bromal,6,61
bromals,7,80
bromate,7,74
bromated,8,78
bromates,8,93
bromating,9,99
brome,5,53
bromegrass,10,117
bromegrasses,12,141
bromelain,9,89
bromelains,10,108
bromeliad,9,79
bromeliads,10,98
bromelin,8,88
bromelins,9,107
bromes,6,72
bromic,6,60
bromid,6,61
bromide,7,66
bromides,8,85
bromidic,8,73
bromids,7,80
bromin,6,71
brominate,9,97
brominated,10,101
brominates,10,116
brominating,11,122
bromination,11,130
brominations,12,149
bromine,7,76
bromines,8,95
bromins,7,90
bromism,7,89
bromisms,8,108
bromize,7,88
bromized,8,92
bromizes,8,107
bromizing,9,113
bromo,5,63
bromocriptine,13,157
bromocriptines,14,176
bromos,6,82
bromouracil,11,127
bromouracils,12,146
bronc,5,52
bronchi,7,69
bronchia,8,70
bronchial,9,82
bronchially,11,119
bronchiectases,14,141
bronchiectasis,14,145
bronchiolar,11,115
bronchiole,10,101
bronchioles,11,120
bronchites,10,113
bronchitic,10,101
bronchitides,12,126
bronchitis,10,117
bronchitises,12,141
bronchium,9,103
broncho,7,75
bronchodilator,14,154
bronchodilators,15,173
bronchogenic,12,113
bronchopneumonia,16,183
bronchopneumonias,17,202
bronchos,8,94
bronchoscope,12,133
bronchoscopes,13,152
bronchoscopic,13,140
bronchoscopies,14,161
bronchoscopist,14,176
bronchoscopists,15,195
bronchoscopy,12,153
bronchospasm,12,143
bronchospasms,13,162
bronchospastic,14,162
bronchus,8,100
bronco,6,67
broncobuster,12,152
broncobusters,13,171
broncos,7,86
broncs,6,71
brontosaur,10,143
brontosaurs,11,162
brontosaurus,12,183
brontosauruses,14,207
bronze,6,80
bronzed,7,84
bronzer,7,98
bronzers,8,117
bronzes,7,99
bronzier,8,107
bronziest,9,128
bronzing,8,105
bronzings,9,124
bronzy,6,100
broo,4,50
brooch,6,61
brooches,8,85
brood,5,54
brooded,7,63
brooder,7,77
brooders,8,96
broodier,8,86
broodiest,9,107
broodily,8,100
broodiness,10,120
broodinesses,12,144
brooding,8,84
broodingly,10,121
broodmare,9,91
broodmares,10,110
broods,6,73
broody,6,79
brook,5,61
brooked,7,70
brookie,7,75
brookies,8,94
brooking,8,91
brookite,8,95
brookites,9,114
brooklet,8,98
brooklets,9,117
brooks,6,80
broom,5,63
broomball,9,90
broomballer,11,113
broomballers,12,132
broomballs,10,109
broomcorn,9,113
broomcorns,10,132
broomed,7,72
broomier,8,95
broomiest,9,116
brooming,8,93
broomrape,9,103
broomrapes,10,122
brooms,6,82
broomstick,10,125
broomsticks,11,144
broomy,6,88
broos,5,69
bros,4,54
brose,5,59
broses,6,78
brosy,5,79
broth,5,63
brothel,7,80
brothels,8,99
brother,7,86
brothered,9,95
brotherhood,11,128
brotherhoods,12,147
brothering,10,116
brotherliness,13,164
brotherlinesses,15,188
brotherly,9,123
brothers,8,105
broths,6,82
brothy,6,88
brougham,8,85
broughams,9,104
brought,7,91
brouhaha,8,74
brouhahas,9,93
brow,4,58
browband,8,79
browbands,9,98
browbeat,8,86
browbeaten,10,105
browbeating,11,116
browbeats,9,105
browed,6,67
browless,8,113
brown,5,72
browned,7,81
browner,7,95
brownest,8,116
brownie,7,86
brownier,8,104
brownies,8,105
browniest,9,125
browning,8,102
brownish,8,108
brownnose,9,125
brownnosed,10,129
brownnoser,10,143
brownnosers,11,162
brownnoses,10,144
brownnosing,11,150
brownout,8,128
brownouts,9,147
browns,6,91
brownshirt,10,146
brownshirts,11,165
brownstone,10,145
brownstones,11,164
browny,6,97
browridge,9,101
browridges,10,120
brows,5,77
browse,6,82
browsed,7,86
browser,7,100
browsers,8,119
browses,7,101
browsing,8,107
brr,3,38
brrr,4,56
brucella,8,74
brucellae,9,79
brucellas,9,93
brucelloses,11,131
brucellosis,11,135
brucin,6,67
brucine,7,72
brucines,8,91
brucins,7,86
brugh,5,56
brughs,6,75
bruin,5,64
bruins,6,83
bruise,6,74
bruised,7,78
bruiser,7,92
bruisers,8,111
bruises,7,93
bruising,8,99
bruit,5,70
bruited,7,79
bruiter,7,93
bruiters,8,112
bruiting,8,100
bruits,6,89
brulot,6,88
brulots,7,107
brulyie,7,92
brulyies,8,111
brulzie,7,93
brulzies,8,112
brumal,6,67
brumbies,8,89
brumby,6,81
brume,5,59
brumes,6,78
brummagem,9,93
brummagems,10,112
brumous,7,109
brunch,6,66
brunched,8,75
brunches,8,90
brunching,9,96
brunet,6,80
brunets,7,99
brunette,8,105
brunettes,9,124
brunizem,8,108
brunizems,9,127
brunt,5,75
brunts,6,94
brush,5,68
brushabilities,14,154
brushability,12,146
brushback,9,85
brushbacks,10,104
brushed,7,77
brusher,7,91
brushers,8,110
brushes,7,92
brushfire,9,106
brushier,8,100
brushiest,9,121
brushing,8,98
brushland,9,99
brushlands,10,118
brushoff,8,95
brushoffs,9,114
brushup,7,105
brushups,8,124
brushwood,9,125
brushwoods,10,144
brushwork,9,135
brushworks,10,154
brushy,6,93
brusk,5,71
brusker,7,94
bruskest,8,115
brusque,7,103
brusquely,9,140
brusqueness,11,160
brusquenesses,13,184
brusquer,8,121
brusquerie,10,135
brusqueries,11,154
brusquest,9,142
brut,4,61
brutal,6,74
brutalise,9,107
brutalised,10,111
brutalises,10,126
brutalising,11,132
brutalities,11,136
brutality,9,128
brutalization,13,168
brutalizations,14,187
brutalize,9,114
brutalized,10,118
brutalizes,10,133
brutalizing,11,139
brutally,8,111
brute,5,66
bruted,6,70
brutely,7,103
brutes,6,85
brutified,9,94
brutifies,9,109
brutify,7,101
brutifying,10,131
bruting,7,91
brutish,7,97
brutishly,9,134
brutishness,11,154
brutishnesses,13,178
brutism,7,102
brutisms,8,121
bruxism,7,106
bruxisms,8,125
bryological,11,119
bryologies,10,127
bryologist,10,142
bryologists,11,161
bryology,8,119
bryonies,8,107
bryony,6,99
bryophyllum,11,167
bryophyllums,12,186
bryophyte,9,134
bryophytes,10,153
bryophytic,10,141
bryozoan,8,116
bryozoans,9,135
bub,3,25
bubal,5,38
bubale,6,43
bubales,7,62
bubaline,8,66
bubalis,7,66
bubalises,9,90
bubals,6,57
bubbies,7,60
bubble,6,44
bubbled,7,48
bubblegum,9,85
bubblegums,10,104
bubblehead,10,62
bubbleheaded,12,71
bubbleheads,11,81
bubbler,7,62
bubblers,8,81
bubbles,7,63
bubblier,8,71
bubblies,8,72
bubbliest,9,92
bubbling,8,69
bubbly,6,64
bubby,5,52
bubinga,7,56
bubingas,8,75
bubo,4,40
buboed,6,49
buboes,6,64
bubonic,7,66
bubs,4,44
buccal,6,42
buccally,8,79
buccaneer,9,72
buccaneered,11,81
buccaneering,12,102
buccaneerish,12,108
buccaneers,10,91
buccinator,10,106
buccinators,11,125
buck,4,37
buckaroo,8,86
buckaroos,9,105
buckayro,8,96
buckayros,9,115
buckbean,8,59
buckbeans,9,78
buckboard,9,77
buckboards,10,96
bucked,6,46
buckeen,7,61
buckeens,8,80
bucker,6,60
buckeroo,8,90
buckeroos,9,109
buckers,7,79
bucket,6,62
bucketed,8,71
bucketful,9,101
bucketfuls,10,120
bucketing,9,92
buckets,7,81
bucketsful,10,120
buckeye,7,72
buckeyes,8,91
bucking,7,67
buckish,7,73
buckle,6,54
buckled,7,58
buckler,7,72
bucklered,9,81
bucklering,10,102
bucklers,8,91
buckles,7,73
buckling,8,79
buckminsterfullerene,20,233
buckminsterfullerenes,21,252
bucko,5,52
buckoes,7,76
buckra,6,56
buckram,7,69
buckramed,9,78
buckraming,10,99
buckrams,8,88
buckras,7,75
bucks,5,56
bucksaw,7,80
bucksaws,8,99
buckshee,8,74
buckshees,9,93
buckshot,8,99
buckshots,9,118
buckskin,8,90
buckskinned,11,113
buckskins,9,109
bucktail,8,79
bucktails,9,98
buckteeth,9,95
buckthorn,9,112
buckthorns,10,131
bucktooth,9,115
bucktoothed,11,124
buckwheat,9,94
buckwheats,10,113
buckyball,9,89
buckyballs,10,108
bucolic,7,65
bucolically,11,115
bucolics,8,84
bud,3,27
budded,6,40
budder,6,54
budders,7,73
buddied,7,49
buddies,7,64
budding,7,61
buddings,8,80
buddle,6,48
buddleia,8,58
buddleias,9,77
buddles,7,67
buddy,5,56
buddying,8,86
budge,5,39
budged,6,43
budger,6,57
budgerigar,10,92
budgerigars,11,111
budgers,7,76
budges,6,58
budget,6,59
budgetary,9,103
budgeted,8,68
budgeteer,9,87
budgeteers,10,106
budgeter,8,82
budgeters,9,101
budgeting,9,89
budgets,7,78
budgie,6,48
budgies,7,67
budging,7,64
budless,7,82
budlike,7,64
buds,4,46
budworm,7,96
budworms,8,115
buff,4,35
buffable,8,55
buffalo,7,63
buffaloberries,14,139
buffaloberry,12,131
buffaloed,9,72
buffaloes,9,87
buffalofish,11,105
buffalofishes,13,129
buffaloing,10,93
buffalos,8,82
buffed,6,44
buffer,6,58
buffered,8,67
buffering,9,88
buffers,7,77
buffet,6,60
buffeted,8,69
buffeter,8,83
buffeters,9,102
buffeting,9,90
buffets,7,79
buffi,5,44
buffier,7,67
buffiest,8,88
buffing,7,65
bufflehead,10,70
buffleheads,11,89
buffo,5,50
buffoon,7,79
buffooneries,12,135
buffoonery,10,127
buffoonish,10,115
buffoons,8,98
buffos,6,69
buffs,5,54
buffy,5,60
bug,3,30
bugaboo,7,63
bugaboos,8,82
bugbane,7,52
bugbanes,8,71
bugbear,7,56
bugbears,8,75
bugeye,6,65
bugeyes,7,84
bugged,6,46
bugger,6,60
buggered,8,69
buggeries,9,93
buggering,9,90
buggers,7,79
buggery,7,85
buggier,7,69
buggies,7,70
buggiest,8,90
bugging,7,67
buggy,5,62
bughouse,8,98
bughouses,9,117
bugle,5,47
bugled,6,51
bugler,6,65
buglers,7,84
bugles,6,66
bugleweed,9,84
bugleweeds,10,103
bugling,7,72
bugloss,7,95
buglosses,9,119
bugs,4,49
bugseed,7,63
bugseeds,8,82
bugsha,6,58
bugshas,7,77
buhl,4,43
buhls,5,62
buhlwork,8,110
buhlworks,9,129
buhr,4,49
buhrs,5,68
buhrstone,9,122
buhrstones,10,141
build,5,48
buildable,9,68
builded,7,57
builder,7,71
builders,8,90
building,8,78
buildings,9,97
builds,6,67
buildup,7,85
buildups,8,104
built,5,64
buirdly,7,91
bulb,4,37
bulbar,6,56
bulbed,6,46
bulbel,6,54
bulbels,7,73
bulbil,6,58
bulbils,7,77
bulblet,7,74
bulblets,8,93
bulbous,7,92
bulbously,9,129
bulbs,5,56
bulbul,6,70
bulbuls,7,89
bulge,5,47
bulged,6,51
bulger,6,65
bulgers,7,84
bulges,6,66
bulgier,7,74
bulgiest,8,95
bulging,7,72
bulgur,6,81
bulgurs,7,100
bulgy,5,67
bulimia,7,67
bulimiac,8,70
bulimias,8,86
bulimic,7,69
bulimics,8,88
bulk,4,46
bulkage,7,59
bulkages,8,78
bulked,6,55
bulkhead,8,64
bulkheads,9,83
bulkier,7,78
bulkiest,8,99
bulkily,7,92
bulkiness,9,112
bulkinesses,11,136
bulking,7,76
bulks,5,65
bulky,5,71
bull,4,47
bulla,5,48
bullace,7,56
bullaces,8,75
bullae,6,53
bullate,7,73
bullbaiting,11,109
bullbaitings,12,128
bullbat,7,70
bullbats,8,89
bulldog,7,73
bulldogged,10,89
bulldogger,10,103
bulldoggers,11,122
bulldogging,11,110
bulldoggings,12,129
bulldogs,8,92
bulldoze,8,97
bulldozed,9,101
bulldozer,9,115
bulldozers,10,134
bulldozes,9,116
bulldozing,10,122
bulled,6,56
bullet,6,72
bulleted,8,81
bulletin,8,95
bulletined,10,104
bulleting,9,102
bulletining,11,125
bulletins,9,114
bulletproof,11,142
bullets,7,91
bullfight,9,97
bullfighter,11,120
bullfighters,12,139
bullfighting,12,127
bullfightings,13,146
bullfights,10,116
bullfinch,9,87
bullfinches,11,111
bullfrog,8,93
bullfrogs,9,112
bullhead,8,65
bullheaded,10,74
bullheadedly,12,111
bullheadedness,14,131
bullheadednesses,16,155
bullheads,9,84
bullhorn,8,102
bullhorns,9,121
bullied,7,65
bullier,7,79
bullies,7,80
bulliest,8,100
bulling,7,77
bullion,7,85
bullions,8,104
bullish,7,83
bullishly,9,120
bullishness,11,140
bullishnesses,13,164
bullmastiff,11,121
bullmastiffs,12,140
bullneck,8,80
bullnecked,10,89
bullnecks,9,99
bullnose,8,100
bullnoses,9,119
bullock,7,76
bullocks,8,95
bullocky,8,101
bullous,7,102
bullpen,7,82
bullpens,8,101
bullpout,8,119
bullpouts,9,138
bullring,8,95
bullrings,9,114
bullrush,8,113
bullrushes,10,137
bulls,5,66
bullshit,8,103
bullshits,9,122
bullshitted,11,132
bullshitting,12,153
bullshot,8,109
bullshots,9,128
bullterrier,11,140
bullterriers,12,159
bullweed,8,84
bullweeds,9,103
bullwhip,8,103
bullwhipped,11,128
bullwhipping,12,149
bullwhips,9,122
bully,5,72
bullyboy,8,114
bullyboys,9,133
bullying,8,102
bullyrag,8,98
bullyragged,11,114
bullyragging,12,135
bullyrags,9,117
bulrush,7,101
bulrushes,9,125
bulwark,7,88
bulwarked,9,97
bulwarking,10,118
bulwarks,8,107
bum,3,36
bumbershoot,11,138
bumbershoots,12,157
bumble,6,55
bumblebee,9,67
bumblebees,10,86
bumbled,7,59
bumbler,7,73
bumblers,8,92
bumbles,7,74
bumbling,8,80
bumblingly,10,117
bumblings,9,99
bumboat,7,74
bumboats,8,93
bumf,4,42
bumfs,5,61
bumkin,6,70
bumkins,7,89
bummed,6,58
bummer,6,72
bummers,7,91
bummest,7,93
bumming,7,79
bump,4,52
bumped,6,61
bumper,6,75
bumpered,8,84
bumpering,9,105
bumpers,7,94
bumph,5,60
bumphs,6,79
bumpier,7,84
bumpiest,8,105
bumpily,7,98
bumpiness,9,118
bumpinesses,11,142
bumping,7,82
bumpkin,7,86
bumpkinish,10,122
bumpkinly,9,123
bumpkins,8,105
bumps,5,71
bumptious,9,136
bumptiously,11,173
bumptiousness,13,193
bumptiousnesses,15,217
bumpy,5,77
bums,4,55
bun,3,37
bunch,5,48
bunchberries,12,124
bunchberry,10,116
bunched,7,57
bunches,7,72
bunchgrass,10,112
bunchgrasses,12,136
bunchier,8,80
bunchiest,9,101
bunchily,8,94
bunching,8,78
bunchy,6,73
bunco,5,55
buncoed,7,64
buncoing,8,85
buncombe,8,75
buncombes,9,94
buncos,6,74
bund,4,41
bundist,7,89
bundists,8,108
bundle,6,58
bundled,7,62
bundler,7,76
bundlers,8,95
bundles,7,77
bundling,8,83
bundlings,9,102
bunds,5,60
bundt,5,61
bundts,6,80
bung,4,44
bungalow,8,95
bungalows,9,114
bunged,6,53
bungee,6,54
bungees,7,73
bunghole,8,84
bungholes,9,103
bunging,7,74
bungle,6,61
bungled,7,65
bungler,7,79
bunglers,8,98
bungles,7,80
bunglesome,10,113
bungling,8,86
bunglingly,10,123
bunglings,9,105
bungs,5,63
bunion,6,75
bunions,7,94
bunk,4,48
bunked,6,57
bunker,6,71
bunkered,8,80
bunkering,9,101
bunkers,7,90
bunkhouse,9,116
bunkhouses,10,135
bunking,7,78
bunkmate,8,87
bunkmates,9,106
bunko,5,63
bunkoed,7,72
bunkoing,8,93
bunkos,6,82
bunks,5,67
bunkum,6,82
bunkums,7,101
bunn,4,51
bunnies,7,84
bunns,5,70
bunny,5,76
bunraku,7,88
bunrakus,8,107
buns,4,56
bunt,4,57
bunted,6,66
bunter,6,80
bunters,7,99
bunting,7,87
buntings,8,106
buntline,8,97
buntlines,9,116
bunts,5,76
bunya,5,63
bunyas,6,82
buoy,4,63
buoyage,7,76
buoyages,8,95
buoyance,8,86
buoyances,9,105
buoyancies,10,114
buoyancy,8,106
buoyant,7,98
buoyantly,9,135
buoyed,6,72
buoying,7,93
buoys,5,82
buppie,6,69
buppies,7,88
buqsha,6,68
buqshas,7,87
bur,3,41
bura,4,42
buran,5,56
burans,6,75
buras,5,61
burble,6,60
burbled,7,64
burbler,7,78
burblers,8,97
burbles,7,79
burblier,8,87
burbliest,9,108
burbling,8,85
burbly,6,80
burbot,6,78
burbots,7,97
burbs,5,62
burd,4,45
burden,6,64
burdened,8,73
burdener,8,87
burdeners,9,106
burdening,9,94
burdens,7,83
burdensome,10,116
burdie,6,59
burdies,7,78
burdock,7,74
burdocks,8,93
burds,5,64
bureau,6,68
bureaucracies,13,126
bureaucracy,11,118
bureaucrat,10,110
bureaucratese,13,139
bureaucrateses,14,158
bureaucratic,12,122
bureaucratically,16,172
bureaucratise,13,143
bureaucratised,14,147
bureaucratises,14,162
bureaucratising,15,168
bureaucratism,13,151
bureaucratisms,14,170
bureaucratization,17,204
bureaucratizations,18,223
bureaucratize,13,150
bureaucratized,14,154
bureaucratizes,14,169
bureaucratizing,15,175
bureaucrats,11,129
bureaus,7,87
bureaux,7,92
buret,5,66
burets,6,85
burette,7,91
burettes,8,110
burg,4,48
burgage,7,61
burgages,8,80
burgee,6,58
burgees,7,77
burgeon,7,82
burgeoned,9,91
burgeoning,10,112
burgeons,8,101
burger,6,71
burgers,7,90
burgess,7,91
burgesses,9,115
burgh,5,56
burghal,7,69
burgher,7,79
burghers,8,98
burghs,6,75
burglar,7,79
burglaries,10,112
burglarious,11,143
burglariously,13,180
burglarize,10,119
burglarized,11,123
burglarizes,11,138
burglarizing,12,144
burglarproof,12,149
burglars,8,98
burglary,8,104
burgle,6,65
burgled,7,69
burgles,7,84
burgling,8,90
burgomaster,11,139
burgomasters,12,158
burgonet,8,102
burgonets,9,121
burgoo,6,78
burgoos,7,97
burgout,7,104
burgouts,8,123
burgrave,8,94
burgraves,9,113
burgs,5,67
burgundies,10,120
burgundy,8,112
burial,6,63
burials,7,82
buried,6,59
burier,6,73
buriers,7,92
buries,6,74
burin,5,64
burins,6,83
burke,5,57
burked,6,61
burker,6,75
burkers,7,94
burkes,6,76
burking,7,82
burkite,7,86
burkites,8,105
burl,4,53
burladero,9,96
burladeros,10,115
burlap,6,70
burlaps,7,89
burled,6,62
burler,6,76
burlers,7,95
burlesk,7,88
burlesks,8,107
burlesque,9,120
burlesqued,10,124
burlesquely,11,157
burlesquer,10,138
burlesquers,11,157
burlesques,10,139
burlesquing,11,145
burley,6,83
burleys,7,102
burlier,7,85
burliest,8,106
burlily,7,99
burliness,9,119
burlinesses,11,143
burling,7,83
burls,5,72
burly,5,78
burn,4,55
burnable,8,75
burnables,9,94
burned,6,64
burner,6,78
burners,7,97
burnet,6,80
burnets,7,99
burnie,6,69
burnies,7,88
burning,7,85
burningly,9,122
burnings,8,104
burnish,7,91
burnished,9,100
burnisher,9,114
burnishers,10,133
burnishes,9,115
burnishing,10,121
burnishings,11,140
burnoose,8,109
burnoosed,9,113
burnooses,9,128
burnous,7,110
burnouses,9,134
burnout,7,111
burnouts,8,130
burns,5,74
burnsides,9,111
burnt,5,75
burp,4,57
burped,6,66
burping,7,87
burps,5,76
burr,4,59
burred,6,68
burrer,6,82
burrers,7,101
burrier,7,91
burriest,8,112
burring,7,89
burrito,7,103
burritos,8,122
burro,5,74
burros,6,93
burrow,6,97
burrowed,8,106
burrower,8,120
burrowers,9,139
burrowing,9,127
burrows,7,116
burrs,5,78
burrstone,9,132
burrstones,10,151
burry,5,84
